#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  RC4(64, 64).in|  3.60e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.93803868|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.99049985|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.91599906|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.59429890|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.75987219|  PASSED  
        diehard_opso|   0|   2097152|     100|0.96851417|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.56546226|  PASSED  
         diehard_dna|   0|   2097152|     100|0.35609105|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.09655640|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.57640200|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.85781782|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.94639385|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.84824423|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.63636281|  PASSED  
        diehard_sums|   0|       100|     100|0.10109971|  PASSED  
        diehard_runs|   0|    100000|     100|0.69082280|  PASSED  
        diehard_runs|   0|    100000|     100|0.63458539|  PASSED  
       diehard_craps|   0|    200000|     100|0.38939426|  PASSED  
       diehard_craps|   0|    200000|     100|0.94950015|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000579|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00564202|  PASSED  
         sts_monobit|   1|    100000|     100|0.32873662|  PASSED  
            sts_runs|   2|    100000|     100|0.98927592|  PASSED  
          sts_serial|   1|    100000|     100|0.09819757|  PASSED  
          sts_serial|   2|    100000|     100|0.11033464|  PASSED  
          sts_serial|   3|    100000|     100|0.33070944|  PASSED  
          sts_serial|   3|    100000|     100|0.72441298|  PASSED  
          sts_serial|   4|    100000|     100|0.10592419|  PASSED  
          sts_serial|   4|    100000|     100|0.88804139|  PASSED  
          sts_serial|   5|    100000|     100|0.40886955|  PASSED  
          sts_serial|   5|    100000|     100|0.93128956|  PASSED  
          sts_serial|   6|    100000|     100|0.84905919|  PASSED  
          sts_serial|   6|    100000|     100|0.33010971|  PASSED  
          sts_serial|   7|    100000|     100|0.92240611|  PASSED  
          sts_serial|   7|    100000|     100|0.67969967|  PASSED  
          sts_serial|   8|    100000|     100|0.21477441|  PASSED  
          sts_serial|   8|    100000|     100|0.21112372|  PASSED  
          sts_serial|   9|    100000|     100|0.09477789|  PASSED  
          sts_serial|   9|    100000|     100|0.24176683|  PASSED  
          sts_serial|  10|    100000|     100|0.03681102|  PASSED  
          sts_serial|  10|    100000|     100|0.56688015|  PASSED  
          sts_serial|  11|    100000|     100|0.46856893|  PASSED  
          sts_serial|  11|    100000|     100|0.58817506|  PASSED  
          sts_serial|  12|    100000|     100|0.45864476|  PASSED  
          sts_serial|  12|    100000|     100|0.09796864|  PASSED  
          sts_serial|  13|    100000|     100|0.40741694|  PASSED  
          sts_serial|  13|    100000|     100|0.13957837|  PASSED  
          sts_serial|  14|    100000|     100|0.02623587|  PASSED  
          sts_serial|  14|    100000|     100|0.06367611|  PASSED  
          sts_serial|  15|    100000|     100|0.39253181|  PASSED  
          sts_serial|  15|    100000|     100|0.02077272|  PASSED  
          sts_serial|  16|    100000|     100|0.07507317|  PASSED  
          sts_serial|  16|    100000|     100|0.18153733|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.92860395|  PASSED  
