#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|              RC4-RS(256, 16).in|  7.12e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.21859165|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.13033019|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.65495612|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.71524558|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.74576197|  PASSED  
        diehard_opso|   0|   2097152|     100|0.63379470|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.57869558|  PASSED  
         diehard_dna|   0|   2097152|     100|0.47483304|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.40256538|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.20809196|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.26273081|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.36490704|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.49270850|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.59182445|  PASSED  
        diehard_sums|   0|       100|     100|0.00023418|   WEAK   
        diehard_runs|   0|    100000|     100|0.68163918|  PASSED  
        diehard_runs|   0|    100000|     100|0.97871542|  PASSED  
       diehard_craps|   0|    200000|     100|0.49774537|  PASSED  
       diehard_craps|   0|    200000|     100|0.57505267|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.02295634|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.02799015|  PASSED  
         sts_monobit|   1|    100000|     100|0.09480573|  PASSED  
            sts_runs|   2|    100000|     100|0.82276101|  PASSED  
          sts_serial|   1|    100000|     100|0.27615028|  PASSED  
          sts_serial|   2|    100000|     100|0.28260768|  PASSED  
          sts_serial|   3|    100000|     100|0.12622753|  PASSED  
          sts_serial|   3|    100000|     100|0.72278868|  PASSED  
          sts_serial|   4|    100000|     100|0.09988997|  PASSED  
          sts_serial|   4|    100000|     100|0.37441608|  PASSED  
          sts_serial|   5|    100000|     100|0.15830314|  PASSED  
          sts_serial|   5|    100000|     100|0.85927976|  PASSED  
          sts_serial|   6|    100000|     100|0.07642224|  PASSED  
          sts_serial|   6|    100000|     100|0.20491483|  PASSED  
          sts_serial|   7|    100000|     100|0.37976305|  PASSED  
          sts_serial|   7|    100000|     100|0.50864749|  PASSED  
          sts_serial|   8|    100000|     100|0.62913382|  PASSED  
          sts_serial|   8|    100000|     100|0.55570303|  PASSED  
          sts_serial|   9|    100000|     100|0.37987344|  PASSED  
          sts_serial|   9|    100000|     100|0.84585732|  PASSED  
          sts_serial|  10|    100000|     100|0.95900902|  PASSED  
          sts_serial|  10|    100000|     100|0.25128039|  PASSED  
          sts_serial|  11|    100000|     100|0.44512626|  PASSED  
          sts_serial|  11|    100000|     100|0.39159990|  PASSED  
          sts_serial|  12|    100000|     100|0.44042321|  PASSED  
          sts_serial|  12|    100000|     100|0.38427100|  PASSED  
          sts_serial|  13|    100000|     100|0.84587541|  PASSED  
          sts_serial|  13|    100000|     100|0.95068276|  PASSED  
          sts_serial|  14|    100000|     100|0.48455728|  PASSED  
          sts_serial|  14|    100000|     100|0.66444238|  PASSED  
          sts_serial|  15|    100000|     100|0.87533943|  PASSED  
          sts_serial|  15|    100000|     100|0.67913278|  PASSED  
          sts_serial|  16|    100000|     100|0.52116043|  PASSED  
