#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 RC4-SST(256).in|  7.58e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.78882822|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.17425948|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.98660428|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.32220100|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.40598908|  PASSED  
        diehard_opso|   0|   2097152|     100|0.44512163|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.30045456|  PASSED  
         diehard_dna|   0|   2097152|     100|0.77132661|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.82630510|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.23555824|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.97977277|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.02847029|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.06927310|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.83274474|  PASSED  
        diehard_sums|   0|       100|     100|0.61760955|  PASSED  
        diehard_runs|   0|    100000|     100|0.91396683|  PASSED  
        diehard_runs|   0|    100000|     100|0.91749782|  PASSED  
       diehard_craps|   0|    200000|     100|0.83246112|  PASSED  
       diehard_craps|   0|    200000|     100|0.34529698|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.01875985|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00416253|   WEAK   
         sts_monobit|   1|    100000|     100|0.46232208|  PASSED  
            sts_runs|   2|    100000|     100|0.11206651|  PASSED  
          sts_serial|   1|    100000|     100|0.55352012|  PASSED  
          sts_serial|   2|    100000|     100|0.43933411|  PASSED  
          sts_serial|   3|    100000|     100|0.48267738|  PASSED  
          sts_serial|   3|    100000|     100|0.62019430|  PASSED  
          sts_serial|   4|    100000|     100|0.13942062|  PASSED  
          sts_serial|   4|    100000|     100|0.96756531|  PASSED  
          sts_serial|   5|    100000|     100|0.72824974|  PASSED  
          sts_serial|   5|    100000|     100|0.66414092|  PASSED  
          sts_serial|   6|    100000|     100|0.51053712|  PASSED  
          sts_serial|   6|    100000|     100|0.18251380|  PASSED  
          sts_serial|   7|    100000|     100|0.77980032|  PASSED  
