#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                RC4(256, 256).in|  2.48e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.09303510|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.47523100|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.44513660|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.05954660|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.92875214|  PASSED  
        diehard_opso|   0|   2097152|     100|0.73259689|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.90921689|  PASSED  
         diehard_dna|   0|   2097152|     100|0.33224855|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.12479601|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.04094159|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.47786440|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.21029767|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.84847386|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.67391617|  PASSED  
        diehard_sums|   0|       100|     100|0.02611260|  PASSED  
        diehard_runs|   0|    100000|     100|0.81648396|  PASSED  
        diehard_runs|   0|    100000|     100|0.79779117|  PASSED  
       diehard_craps|   0|    200000|     100|0.76280994|  PASSED  
       diehard_craps|   0|    200000|     100|0.69914232|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000003|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.04006236|  PASSED  
         sts_monobit|   1|    100000|     100|0.21369729|  PASSED  
            sts_runs|   2|    100000|     100|0.10276056|  PASSED  
          sts_serial|   1|    100000|     100|0.72965411|  PASSED  
          sts_serial|   2|    100000|     100|0.69790617|  PASSED  
          sts_serial|   3|    100000|     100|0.57253996|  PASSED  
          sts_serial|   3|    100000|     100|0.50428616|  PASSED  
